,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kruisfontein,53,ZA,1591730426,45,-34.0,24.73,64.96,5.79
1,saint george,1,US,1591730253,15,37.1,-113.58,73.4,8.05
2,castro,100,BR,1591730183,81,-24.79,-50.01,69.93,8.16
3,mataura,36,NZ,1591730427,86,-46.19,168.86,50.0,5.01
4,tuktoyaktuk,90,CA,1591730427,70,69.45,-133.04,46.4,3.36
5,ponta do sol,40,PT,1591730427,60,32.67,-17.1,68.0,13.87
6,grindavik,75,IS,1591730427,81,63.84,-22.43,48.2,16.11
7,ahipara,59,NZ,1591730427,83,-35.17,173.17,54.61,9.37
8,avarua,95,CK,1591730427,78,-21.21,-159.78,75.2,12.75
9,fortuna,20,US,1591730428,63,40.6,-124.16,72.0,11.41
10,payson,40,US,1591730418,26,40.04,-111.73,60.8,5.82
11,carnarvon,0,AU,1591730428,46,-24.87,113.63,68.54,5.59
12,asau,25,RO,1591730428,75,46.43,26.4,68.0,3.31
13,hofn,86,IS,1591730428,78,64.25,-15.21,48.24,6.24
14,alice springs,0,AU,1591730429,51,-23.7,133.88,52.0,5.82
15,butaritari,30,KI,1591730429,82,3.07,172.79,82.54,17.96
16,severo-kurilsk,84,RU,1591730429,83,50.68,156.12,45.23,7.54
17,kodiak,90,US,1591730429,87,57.79,-152.41,48.2,2.62
18,hoganas,0,SE,1591730271,71,56.2,12.56,57.2,6.93
19,dikson,100,RU,1591730429,99,73.51,80.55,34.21,12.24
20,hermanus,0,ZA,1591730429,90,-34.42,19.23,60.01,8.99
21,matehuala,0,MX,1591730430,21,23.65,-100.65,89.6,1.5
22,lagoa,100,PT,1591730430,73,39.05,-27.98,65.12,6.33
23,bluff,93,NZ,1591730430,86,-46.6,168.33,50.0,5.01
24,new norfolk,100,AU,1591730430,85,-42.78,147.06,46.0,3.0
25,ushuaia,40,AR,1591730307,85,-54.8,-68.3,41.0,1.74
26,kiruna,80,SE,1591730431,57,67.86,20.23,48.2,6.93
27,esperance,83,AU,1591730431,61,-33.87,121.9,50.0,13.87
28,lubao,75,PH,1591730431,83,14.92,120.55,78.8,2.24
29,sechura,18,PE,1591730431,56,-5.56,-80.82,76.05,13.06
30,rameswaram,100,IN,1591730431,80,9.28,79.3,85.26,10.78
31,paramonga,17,PE,1591730431,64,-10.67,-77.83,68.45,7.25
32,longyearbyen,75,SJ,1591730432,74,78.22,15.64,37.4,13.87
33,prince rupert,90,CA,1591730432,62,54.32,-130.32,57.2,3.36
34,east london,0,ZA,1591730432,33,-33.02,27.91,73.81,10.09
35,thompson,90,CA,1591730152,100,55.74,-97.86,50.0,6.93
36,son la,100,VN,1591730432,81,21.32,103.9,75.02,1.77
37,yar-sale,97,RU,1591730433,66,66.83,70.83,59.36,5.5
38,victoria,100,HK,1591730258,74,22.29,114.16,84.0,8.99
39,talnakh,75,RU,1591730433,70,69.49,88.4,42.8,13.42
40,atuona,0,PF,1591730433,77,-9.8,-139.03,81.07,22.19
41,broken hill,18,AU,1591730433,81,-31.95,141.43,42.8,6.87
42,qaanaaq,0,GL,1591730433,84,77.48,-69.36,34.3,0.76
43,terra santa,85,BR,1591730434,55,-2.1,-56.49,88.84,3.02
44,lavrentiya,100,RU,1591730434,86,65.58,-171.0,35.56,3.29
45,tiksi,100,RU,1591730434,95,71.69,128.87,28.94,9.64
46,jalingo,0,NG,1591730413,70,8.88,11.37,82.51,6.44
47,kapaa,20,US,1591730434,83,22.08,-159.32,79.0,11.41
48,kjollefjord,75,NO,1591730434,67,70.95,27.35,42.8,10.29
49,upernavik,100,GL,1591730435,92,72.79,-56.15,33.37,6.96
50,arraial do cabo,0,BR,1591730435,83,-22.97,-42.03,80.6,10.29
51,albany,3,US,1591730327,34,42.6,-73.97,87.01,6.67
52,kansanshi,0,ZM,1591730435,59,-12.1,26.43,56.77,3.31
53,chokurdakh,100,RU,1591730435,74,70.63,147.92,39.69,14.52
54,ishigaki,100,JP,1591730436,79,24.34,124.16,80.47,14.74
55,rikitea,100,PF,1591730436,85,-23.12,-134.97,75.99,11.16
56,kargasok,99,RU,1591730436,52,59.06,80.86,53.02,4.94
57,hobart,100,AU,1591730326,65,-42.88,147.33,48.99,10.29
58,constitucion,0,CL,1591730436,60,-35.33,-72.42,55.58,10.83
59,bintulu,75,MY,1591730437,94,3.17,113.03,77.0,8.05
60,margate,2,GB,1591730437,72,51.38,1.39,60.01,1.01
61,marsa matruh,64,EG,1591730437,41,31.35,27.25,78.8,8.05
62,manturovo,0,RU,1591730437,87,58.34,44.76,61.52,2.37
63,hilo,20,US,1591730308,61,19.73,-155.09,82.4,5.82
64,ormara,0,PK,1591730437,84,25.21,64.64,84.65,7.72
65,chuy,100,UY,1591730438,73,-33.7,-53.46,61.59,3.04
66,buala,80,SB,1591730438,79,-8.14,159.59,81.19,5.06
67,pangnirtung,90,CA,1591730438,83,66.15,-65.71,33.8,16.11
68,rocha,100,UY,1591730438,71,-34.48,-54.33,60.37,6.33
